eval_context (category: retrieval|refusal|guard|edge — use to filter eval runs),input (question sent to /api/law/query),output (blank — filled by eval runner after hitting the API),expected_answer (ideal answer key points — use for LLM-judge comparison e.g. GPT-4o scores 1-5),expected_citations (section_refs that MUST appear in citations[] — pipe-separated; use for programmatic citation check),expected_assertions (machine-checkable flags — semicolon-separated; use for pass/fail without LLM judge)
retrieval,What is the admissibility of electronic records under BSA 2023?,,Section 63 of the Bharatiya Sakshya Adhiniyam 2023 deals with admissibility of electronic records and specifies conditions under which electronic records are admissible as evidence.,BSA s.63,must_cite=BSA s.63;must_contain=electronic;should_refuse=false
retrieval,What does BNS Section 309 say about robbery?,,Section 309 of the Bharatiya Nyaya Sanhita 2023 deals with robbery defining when theft or extortion becomes robbery based on use of force or threat of force in committing or carrying away property.,BNS s.309,must_cite=BNS s.309;must_contain=robbery;should_refuse=false
retrieval,What is Article 226 of the Constitution about?,,Article 226 confers power on High Courts to issue directions orders or writs including writs in the nature of habeas corpus mandamus prohibition quo warranto and certiorari to any person or authority within the territory.,Art. 226,must_cite=Art. 226;must_contain=High Court;should_refuse=false
retrieval,What is the procedure for filing an FIR under BNSS 2023?,,Section 173 of the BNSS 2023 deals with information to police in cognizable cases (FIR) — every information relating to a cognizable offence shall be reduced to writing by the officer in charge and signed by the informant.,BNSS s.173,must_cite=BNSS s.173;must_contain=cognizable;should_refuse=false
refusal,What are the provisions of the Companies Act 2013 regarding board meetings?,,The answer should be a refusal stating the Companies Act is not in the indexed corpus and recommending consultation of a legal professional.,,should_refuse=true;must_not_contain=Section|board meeting answer
refusal,What does the Income Tax Act say about capital gains?,,Refusal — Income Tax Act not indexed.,,should_refuse=true
refusal,What are the arbitration procedures under the Arbitration and Conciliation Act?,,Refusal — Arbitration Act not indexed.,,should_refuse=true
refusal,What does the Right to Information Act 2005 say about public authorities?,,Refusal — RTI Act not indexed.,,should_refuse=true
refusal,What is the legal framework for GST in India?,,Refusal — GST legislation not indexed.,,should_refuse=true
refusal,What are the provisions of the Hindu Marriage Act?,,Refusal — Hindu Marriage Act not indexed.,,should_refuse=true
refusal,What does the Motor Vehicles Act say about insurance?,,Refusal — Motor Vehicles Act not indexed.,,should_refuse=true
refusal,What are the provisions for bail under the Prevention of Money Laundering Act?,,Refusal — PMLA not indexed.,,should_refuse=true
guard,What does IPC Section 302 say about murder?,,The answer should note that IPC Section 302 belongs to a repealed statute (Indian Penal Code 1860). The equivalent provision is BNS Section 103 which prescribes punishment for murder.,LAW_MAPPINGS:full|BNS s.103,guard=old_law;must_contain=repealed|BNS;must_cite_doc_id=LAW_MAPPINGS
guard,What does Section 375 of IPC say about rape?,,The answer should note IPC is repealed. The equivalent under BNS 2023 is Section 63 which defines rape.,LAW_MAPPINGS:full|BNS s.63,guard=old_law;must_contain=repealed|BNS;must_cite_doc_id=LAW_MAPPINGS
guard,What does CrPC Section 167 say about remand?,,The answer should note CrPC is repealed and replaced by BNSS 2023. The equivalent provision should be sourced from the LAW_MAPPINGS chunk.,LAW_MAPPINGS:full,guard=old_law;must_contain=repealed|BNSS;must_cite_doc_id=LAW_MAPPINGS
guard,What does the Indian Evidence Act say about opinions of experts?,,The answer should note the Indian Evidence Act is repealed and replaced by BSA 2023. Section 39 of BSA 2023 deals with expert opinions.,LAW_MAPPINGS:full|BSA s.39,guard=old_law;must_contain=repealed|BSA;must_cite_doc_id=LAW_MAPPINGS
guard,What does the Consumer Protection Act 1986 say?,,The answer should note Consumer Protection Act 1986 is repealed and replaced by Consumer Protection Act 2019.,LAW_MAPPINGS:full,guard=old_law;must_contain=repealed|2019;must_cite_doc_id=LAW_MAPPINGS
guard,What does Section 420 IPC say about cheating?,,IPC is repealed. The cheating provision now falls under BNS 2023. The LAW_MAPPINGS document should provide the equivalent BNS section.,LAW_MAPPINGS:full,guard=old_law;must_contain=repealed|BNS;must_cite_doc_id=LAW_MAPPINGS
edge,What is the difference between BNS and IPC?,,The answer should explain BNS 2023 replaces IPC 1860 and draw on the LAW_MAPPINGS document which maps key provisions.,LAW_MAPPINGS:full,must_cite_doc_id=LAW_MAPPINGS;should_refuse=false
