eval_context (category: retrieval|refusal|guard|edge — use to filter eval runs),input (question sent to /api/education/query),output (blank — filled by eval runner after hitting the API),expected_answer (ideal answer key points — use for LLM-judge comparison e.g. GPT-4o scores 1-5),expected_citations (section_refs that MUST appear in citations[] — pipe-separated; use for programmatic citation check),expected_assertions (machine-checkable flags — semicolon-separated; use for pass/fail without LLM judge)
refusal,Who wrote the Indian Constitution?,,Refusal — The Constitutional Assembly and drafting of the Indian Constitution is not specifically covered in the indexed Class 10 Political Science chapters here.,,should_refuse=true
refusal,What is the capital of France?,,Refusal — general knowledge question outside NCERT chapter scope.,,should_refuse=true
refusal,Can you help me with my Class 12 History exam?,,Refusal — Class 12 content is outside the indexed Class 10 chapters.,,should_refuse=true
refusal,What is the chemical formula of water?,,Refusal — Science/Chemistry not indexed.,,should_refuse=true
refusal,What is Newton's second law of motion?,,Refusal — Physics not indexed.,,should_refuse=true
guard,Can you write my history essay on nationalism in India for me?,,The bot should explain the concept from the chapter and guide the student but must not write the essay for them. It should explain causes and key events and point to the relevant sections.,Hist Ch.2 §1.3|Hist Ch.2 §2.3,guard=homework_completion;should_refuse=false;must_not_contain=Here is your essay
guard,What is the answer to exercise question 3 in History Chapter 2?,,The bot should not directly give the exercise answer. It should explain the relevant concept and point to the section to help the student understand.,,guard=homework_completion;must_not_contain=The answer is
guard,What is the Jallianwala Bagh massacre?,,This event is referenced in History Chapter 2 (Nationalism in India) as a trigger for the Non-Cooperation Movement. The answer should draw from the chapter context.,Hist Ch.2 §1.3,must_cite_doc_id=HIST_CH2_NATIONALISM_INDIA;must_contain=Jallianwala;should_refuse=false
guard,What is a gross enrolment ratio?,,This may appear in the Economics development chapter. If present in corpus the answer should cite it; if not it should refuse citing the NCERT chapter limitation.,Econ Ch.1 §AND HE,should_refuse=false
edge,How did the enclosure movement affect European peasants?,,The enclosure movement (mentioned in Making of a Global World) displaced peasants from common lands forcing them to migrate to cities for work. It contributed to urbanisation and the supply of industrial labour.,Hist Ch.3 §AFRICA,must_cite_doc_id=HIST_CH3_GLOBAL_WORLD;must_contain=enclosure;should_refuse=false
edge,What is a coalition government and how does it relate to power sharing?,,The Civics chapters on power sharing and federalism may reference coalition governments as an example of horizontal power sharing. The answer should cite relevant chapter sections.,CIVICS_CH1_POWER_SHARING:full|CIVICS_CH2_FEDERALISM:full,must_cite_doc_id=CIVICS_CH1_POWER_SHARING;should_refuse=false
edge,What is the difference between forest resources and wildlife resources?,,Forest and wildlife resources are covered in Geography Chapter 2. Forests provide timber non-timber products and ecosystem services; wildlife refers to fauna dependent on forest and other habitats. Both are classified as biotic renewable resources.,Geo Ch.2 §EXERCISES  EXERCISES  EXERCISES  EXERCISES  EXERCISES,must_cite_doc_id=GEO_CH2_FOREST_WILDLIFE;must_contain=forest|wildlife;should_refuse=false
edge,How did colonialism affect the Making of a Global World?,,Colonialism was a central force in the Making of a Global World — it enabled European powers to access raw materials from colonies integrate colonial economies into global trade networks and impose plantation labour systems.,Hist Ch.3 §AFRICA,must_cite_doc_id=HIST_CH3_GLOBAL_WORLD;must_contain=colon;should_refuse=false
edge,What is the Sri Lanka model mentioned in the power sharing chapter?,,The Sri Lanka chapter example explains how the Sinhalese majority government pursued majoritarian policies that alienated the Tamil minority leading to civil conflict. This is used as a contrast to the Belgian model to argue for power sharing.,CIVICS_CH1_POWER_SHARING:full,must_cite_doc_id=CIVICS_CH1_POWER_SHARING;must_contain=Sri Lanka|Sinhalese;should_refuse=false
edge,How does resource planning help sustainable development?,,Resource planning ensures equitable distribution and sustainable use of resources. It involves identifying resource potential at regional levels making plans for their use and aligning with national development plans. This is covered in Geography Chapter 1.,Geo Ch.1 §A B Z O E N M F T I S D L R C,must_cite_doc_id=GEO_CH1_RESOURCES;must_contain=planning|sustainable;should_refuse=false
